,Image Link,Brand Image Link,Model,Price,Description
40,https://www.music3000.fr/820319/lag-t70acebls-auditorium-black-satin-cutaway-electro.jpg,https://www.music3000.fr/img/m/256-small_default.jpg,LAG T70ACE-BLS auditorium black satin cutaway electro,"460,00€",- Catégorie : Folk électroacoustique - Cordes : Métal - Fond / éclisses : Acajou Swietenia - Format : Auditorium - Manche : Acajou - Nbre de cordes : 6 - Table : picéa Engelmann massif - Touche : Brown BrankoWood
41,https://www.music3000.fr/820316/kremona--r65cw-48.jpg,https://www.music3000.fr/img/m/fr-default-small_default.jpg,KREMONA  R65CW 48,"699,00€","Table : Epicéa Massif Européen Dos et Eclisses : Noyer Manche :Acajou Africain Chevalet : Palissandre indien Touche : Palissandre indien Binding : Bois Rosace : Bois Mécaniques : Van Gent Plaquées Or Finition : Vernis polyuréthane brillant Sillet Chevalet : os Sillet de Tête : os Jointure Caisse Manche : Queue d'aronde Cordes : Royal Classic ""Sonata"" Medium Largeur Sillet de Tête : 48mm Préampli : Fishman Classic III Nombre de Frettes : 19 frettes Diapason : 650 mm"
42,https://www.music3000.fr/819023/lag-travelgte-travel-spruce-globe-trotter-electro.jpg,https://www.music3000.fr/img/m/256-small_default.jpg,LAG TRAVEL-GTE travel spruce globe trotter electro,"491,00€",
43,https://www.music3000.fr/819017/dowina-danubiu-sdceds.jpg,https://www.music3000.fr/img/m/1217-small_default.jpg,DOWINA DANUBIU SDCE-DS,"799,00€",DOWINA DANUBIUS DCE-DS
44,https://www.music3000.fr/819016/martin-gpcx2emahogany-guitare-acoustique-gpcx2e01.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN GPC-X2E-MAHOGANY guitare acoustique gpcx2e-01,"979,00€","MARTIN GPC-X2E-MAHOGANY gpcx2e-01 En 1999, Martin s'est lancé dans l'univers des matériaux alternatifs et a créé une toute nouvelle gamme de guitares de haute qualité : la série X. Au cours des 20 années qui ont suivi, la série X a évolué pour inclure de multiples changements de conception avec l'aide de ces matériaux alternatifs. En 2020, fort de son histoire de 187 ans d'innovations majeures dans la fabrication de la guitare moderne, Martin nous présente la nouvelle série X qui combine les matériaux alternatifs et traditionnels en offrant à prix attractif un large choix de finitions dans ce standard de qualité. Les guitares 6 cordes de la série X ont toutes le barrage échancré, le préampli Fishman MX et sont livrées en housse. De plus sur les modèles de la série X2, la table, le manche,"
45,https://www.music3000.fr/818864/takamine-tsf48c-tsf48c-natural-gloss.jpg,https://www.music3000.fr/img/m/238-small_default.jpg,TAKAMINE TSF48C tsf48c natural gloss,"1995,00€",TAKAMINE TSF48C tsf48c natural gloss
46,https://www.music3000.fr/818765/dowina-puella-gaceds-avec-systeme-presys.jpg,https://www.music3000.fr/img/m/1217-small_default.jpg,Dowina Puella GACE-DS avec systeme Presys,"569,00€",Dowina Puella GACE-DS avec systeme Presys
47,https://www.music3000.fr/818761/dowina-cabernet-gace-ds.jpg,https://www.music3000.fr/img/m/1217-small_default.jpg,DOWINA Cabernet GACE DS,"1590,00€",DOWINA Cabernet GACE DS
48,https://www.music3000.fr/818751/taylor-gte-urban-ash.jpg,https://www.music3000.fr/img/m/17-small_default.jpg,TAYLOR GTe Urban Ash,"1799,00€",
49,https://www.music3000.fr/818747/gibson-l00-standard-vintage-sunburst.jpg,https://www.music3000.fr/img/m/68-small_default.jpg,GIBSON L-00 Standard Vintage Sunburst,"2333,00€","Table en épicéa de Sitka massifFond et éclisses en acajouManche en acajouTouche en palissandre19 frettesRepères en nacreLargeur au sillet: 43,8 mm (1,725"")Diapason: 629 mm (24,75"")Mécaniques miniatures GroverSystème de micro L.R. Baggs VTCCouleur: Vintage SunburstFabriquée aux USA"
50,https://www.music3000.fr/818704/taylor-academy-22e-layered-walnutwalnut-top.jpg,https://www.music3000.fr/img/m/17-small_default.jpg,TAYLOR ACADEMY 22e Layered Walnut-Walnut Top,"999,00€",TAYLOR ACADEMY 22e Layered Walnut-Walnut Top
